BANK_INVESTMENT,TERM,INTEREST_RATE,EMPLOYEMENT_DURATION,EMPPLOYMENT_TITLE,ANNUAL_INCOME,STATUS,LOAN_PURPOSE,STATE,DTI,INITIAL_LIST_STATUS,RECEIVED_INTEREST_TOTAL,RECEIVED_LATE_FEE,APPLICATION_TYPE,TOTAL_COLLECTION_AMOUNT,TOTAL_CURRENT_BALANCE,LOAN_STATUS
14350.0,36 months,19.19,9 years,clerk,28700.0,Source Verified,debt_consolidation,FL,33.88,f,1173.84,0.0,INDIVIDUAL,0.0,28699.0,0.0
4800.0,36 months,10.99,< 1 year,Human Resources Specialist,65000.0,Source Verified,home_improvement,MD,3.64,w,83.95,0.0,INDIVIDUAL,0.0,9974.0,0.0
10000.0,36 months,7.26,2 years,Driver,45000.0,Not Verified,debt_consolidation,OH,18.42,w,56.47,0.0,INDIVIDUAL,65.0,38295.0,0.0
15000.0,36 months,19.72,10+ years,Us office of Personnel Management,105000.0,Not Verified,debt_consolidation,VA,14.97,f,4858.62,0.0,INDIVIDUAL,0.0,55564.0,0.0
16000.0,36 months,10.64,10+ years,LAUSD-HOLLYWOOD HIGH SCHOOL,52000.0,Verified,credit_card,CA,20.16,w,2296.41,0.0,INDIVIDUAL,0.0,47159.0,0.0
14950.0,36 months,8.9,2 years,Design Consultant,120000.0,Not Verified,debt_consolidation,IN,12.3,f,1957.24,0.0,INDIVIDUAL,0.0,350619.0,0.0
4975.0,36 months,7.9,5 years,TOYOTA OF NORTH HOLLYWOOD,75000.0,Source Verified,debt_consolidation,CA,5.7,f,578.36,0.0,INDIVIDUAL,1023.0,13272.0,1.0
6000.0,36 months,9.17,8 years,Banker,54000.0,Not Verified,credit_card,AL,11.63,f,637.51,0.0,INDIVIDUAL,0.0,272579.0,0.0
6000.0,36 months,13.99,7 years,LVN,92000.0,Not Verified,home_improvement,CA,30.85,w,621.72,0.0,INDIVIDUAL,0.0,281521.0,0.0
34550.0,60 months,17.14,2 years,Registered Nurse,72000.0,Verified,debt_consolidation,KY,33.92,w,5535.46,0.0,INDIVIDUAL,0.0,76034.0,0.0
24975.0,36 months,13.33,10+ years,VP of Operations,135000.0,Source Verified,credit_card,NM,14.2,f,1551.58,0.0,INDIVIDUAL,0.0,72193.0,0.0
15000.0,36 months,18.49,4 years,Jp Morgan chase bank,76000.0,Verified,debt_consolidation,CA,15.86,f,3726.32,0.0,INDIVIDUAL,0.0,39152.0,1.0
18000.0,36 months,6.99,7 years,driver,62000.0,Not Verified,credit_card,TN,18.58,f,992.37,0.0,INDIVIDUAL,0.0,194011.0,0.0
9000.0,36 months,6.03,10+ years,Federal Law Enforcement,145000.0,Not Verified,credit_card,TX,15.42,f,633.42,0.0,INDIVIDUAL,0.0,165164.0,0.0
8800.0,36 months,13.65,10+ years,Truck Driver,80000.0,Not Verified,debt_consolidation,CA,13.98,w,1521.5,0.0,INDIVIDUAL,0.0,39634.0,1.0
8000.0,36 months,15.61,4 years,ASSISTANT QAPI COORDINATOR,50000.0,Source Verified,debt_consolidation,CA,27.39,f,801.55,0.0,INDIVIDUAL,0.0,48488.0,0.0
18450.0,60 months,21.7,9 years,LS1,69000.0,Source Verified,debt_consolidation,CA,24.28,f,6269.2,0.0,INDIVIDUAL,0.0,71191.0,0.0
30700.0,36 months,16.99,,,70000.0,Verified,credit_card,PA,29.13,f,7394.32,0.0,INDIVIDUAL,0.0,221335.0,0.0
9000.0,36 months,9.99,7 years,Production employee,60000.0,Source Verified,debt_consolidation,KS,19.7,f,412.36,0.0,INDIVIDUAL,0.0,34538.0,0.0
24000.0,36 months,10.99,7 years,Principal Consultant,130000.0,Verified,debt_consolidation,IL,23.22,w,833.27,0.0,INDIVIDUAL,0.0,125903.0,0.0
20000.0,60 months,17.86,9 years,Zone business manager,96000.0,Not Verified,debt_consolidation,FL,18.31,w,843.95,0.0,INDIVIDUAL,0.0,66738.0,0.0
12400.0,36 months,6.62,2 years,Expeditors,40000.0,Not Verified,debt_consolidation,NY,20.31,f,0.0,0.0,INDIVIDUAL,,,0.0
4200.0,36 months,17.57,10+ years,production coordinator,46000.0,Not Verified,debt_consolidation,CA,31.25,w,394.08,0.0,INDIVIDUAL,0.0,282808.0,0.0
10500.0,36 months,13.66,7 years,Title Manager,60000.0,Source Verified,debt_consolidation,MO,13.82,f,845.33,0.0,INDIVIDUAL,0.0,71697.0,1.0
16000.0,36 months,7.89,< 1 year,Coordinator,65000.0,Source Verified,debt_consolidation,FL,21.54,w,398.12,0.0,INDIVIDUAL,0.0,147448.0,0.0
23800.0,60 months,15.61,4 years,Quality Engineer,70000.0,Source Verified,debt_consolidation,NC,21.93,f,5008.5,0.0,INDIVIDUAL,0.0,327930.0,0.0
7150.0,36 months,12.99,2 years,Top shelf sales,37000.0,Source Verified,debt_consolidation,TX,13.43,f,1047.06,0.0,INDIVIDUAL,0.0,8589.0,1.0
19175.0,36 months,6.62,1 year,Physician,250000.0,Source Verified,debt_consolidation,AL,25.86,f,1785.13,0.0,INDIVIDUAL,0.0,447388.0,1.0
15000.0,36 months,6.92,3 years,Teacher,90000.0,Verified,debt_consolidation,TX,29.68,w,624.8,0.0,INDIVIDUAL,0.0,114298.0,0.0
4000.0,36 months,17.57,2 years,cna,20000.0,Verified,other,NJ,30.79,f,52.71,0.0,INDIVIDUAL,0.0,31445.0,0.0
30000.0,60 months,9.99,10+ years,Director Sales Technology,180000.0,Source Verified,credit_card,CT,14.63,w,1046.14,0.0,INDIVIDUAL,0.0,391749.0,0.0
35000.0,60 months,16.59,8 years,Chief Creative Officer,480000.0,Source Verified,debt_consolidation,CA,13.05,w,8960.72,0.0,INDIVIDUAL,0.0,1385358.0,0.0
6000.0,36 months,12.69,2 years,Manager,40000.0,Source Verified,debt_consolidation,TX,13.11,f,177.5,0.0,INDIVIDUAL,0.0,68057.0,0.0
20000.0,36 months,8.18,9 years,Teacher,50000.0,Source Verified,credit_card,NJ,3.07,f,127.24,0.0,INDIVIDUAL,0.0,6485.0,0.0
12600.0,60 months,10.99,10+ years,tech4,76600.0,Not Verified,debt_consolidation,CA,7.19,w,107.7,0.0,INDIVIDUAL,0.0,23697.0,0.0
10000.0,60 months,19.52,,,29500.0,Verified,debt_consolidation,FL,6.59,w,1147.08,0.0,INDIVIDUAL,0.0,4890.0,0.0
5000.0,36 months,13.98,,,19000.0,Verified,other,NY,13.9,f,728.43,0.0,INDIVIDUAL,50.0,5422.0,0.0
10000.0,60 months,14.85,10+ years,EMR Content Specialist,45000.0,Not Verified,debt_consolidation,IN,26.76,w,0.0,0.0,INDIVIDUAL,0.0,176391.0,0.0
10000.0,60 months,18.55,3 years,Product Support,27000.0,Verified,debt_consolidation,KS,14.13,w,448.67,0.0,INDIVIDUAL,0.0,10707.0,0.0
33150.0,60 months,20.49,10+ years,Vice President,70000.0,Verified,credit_card,PA,32.61,f,4851.01,0.0,INDIVIDUAL,0.0,141797.0,0.0
5500.0,36 months,12.29,10+ years,Senior Sales Consultant,25000.0,Source Verified,debt_consolidation,MO,11.91,f,455.2,0.0,INDIVIDUAL,0.0,53454.0,0.0
28000.0,36 months,8.19,< 1 year,Manager,84000.0,Source Verified,debt_consolidation,TX,12.73,f,1956.66,0.0,INDIVIDUAL,0.0,229995.0,0.0
12600.0,36 months,16.49,10+ years,asst manger,35000.0,Source Verified,debt_consolidation,TX,22.38,f,1795.45,0.0,INDIVIDUAL,0.0,13054.0,0.0
10000.0,36 months,8.39,2 years,Deputy Sheriff,98000.0,Not Verified,debt_consolidation,CA,3.09,f,412.4,0.0,INDIVIDUAL,0.0,42542.0,1.0
17900.0,36 months,18.75,3 years,FINRA,114500.0,Verified,debt_consolidation,NJ,23.11,f,1830.04,0.0,INDIVIDUAL,0.0,624417.0,1.0
4850.0,36 months,16.99,10+ years,Health Tech,53000.0,Source Verified,debt_consolidation,NY,26.49,f,444.36,0.0,INDIVIDUAL,0.0,38829.0,0.0
10725.0,36 months,12.29,9 years,security officer,28200.0,Not Verified,debt_consolidation,PA,38.43,w,277.95,0.0,INDIVIDUAL,0.0,28163.0,0.0
19725.0,36 months,13.67,4 years,Credit Suisse,168000.0,Verified,debt_consolidation,NY,22.32,f,4255.21,68.04,INDIVIDUAL,,,0.0
10000.0,36 months,10.99,7 years,Counselor,125000.0,Not Verified,credit_card,CA,18.05,f,1336.13,0.0,INDIVIDUAL,0.0,421664.0,1.0
6400.0,36 months,12.69,< 1 year,Retail Sales Specialist,42000.0,Source Verified,debt_consolidation,IN,37.21,f,466.13,0.0,INDIVIDUAL,0.0,71646.0,1.0
4950.0,60 months,16.29,2 years,Town of North Haven,24000.0,Verified,home_improvement,CT,16.82,f,1388.24,0.0,INDIVIDUAL,0.0,8312.0,0.0
12000.0,36 months,6.03,10+ years,Hospital,128000.0,Verified,debt_consolidation,PA,10.85,w,806.36,0.0,INDIVIDUAL,0.0,311014.0,1.0
20000.0,36 months,12.69,10+ years,Store manager,160000.0,Verified,home_improvement,NH,4.1,f,1538.96,0.0,INDIVIDUAL,805.0,234697.0,0.0
7275.0,36 months,7.26,10+ years,Co-Owner,130000.0,Not Verified,credit_card,MI,16.63,w,203.15,0.0,INDIVIDUAL,0.0,290962.0,0.0
20200.0,36 months,9.17,10+ years,Executive Assistant,59000.0,Not Verified,debt_consolidation,OH,21.84,w,366.73,0.0,INDIVIDUAL,0.0,195008.0,0.0
16750.0,60 months,24.08,< 1 year,Sales Associate,86000.0,Source Verified,debt_consolidation,CA,6.57,f,6634.89,0.0,INDIVIDUAL,0.0,13166.0,0.0
34925.0,60 months,15.61,10+ years,Foreman,78500.0,Verified,debt_consolidation,NJ,11.48,f,2194.09,0.0,INDIVIDUAL,0.0,34752.0,0.0
6000.0,36 months,13.33,3 years,CMA,70000.0,Source Verified,debt_consolidation,AZ,9.02,f,309.03,0.0,INDIVIDUAL,0.0,359326.0,0.0
10700.0,60 months,14.31,6 years,OB Tech,32100.0,Not Verified,debt_consolidation,NM,27.29,w,1637.68,0.0,INDIVIDUAL,0.0,137019.0,0.0
25000.0,60 months,7.89,2 years,Co-Manager,95000.0,Not Verified,debt_consolidation,GA,12.98,w,464.46,0.0,INDIVIDUAL,0.0,235231.0,0.0
12800.0,36 months,12.99,10+ years,,150000.0,Verified,other,MI,12.63,f,2477.45,0.0,INDIVIDUAL,0.0,161107.0,0.0
