BANK_INVESTMENT,TERM,INTEREST_RATE,EMPLOYEMENT_DURATION,ANNUAL_INCOME,STATUS,LOAN_PURPOSE,STATE,DTI,INITIAL_LIST_STATUS,RECEIVED_INTEREST_TOTAL,RECEIVED_LATE_FEE,APPLICATION_TYPE,TOTAL_COLLECTION_AMOUNT,TOTAL_CURRENT_BALANCE,LOAN_STATUS
14350.0,36,19.19,9,28700.0,Source Verified,debt_consolidation,FL,33.88,f,1173.84,0.0,INDIVIDUAL,0.0,28699.0,0.0
4800.0,36,10.99,0,65000.0,Source Verified,home_improvement,MD,3.64,w,83.95,0.0,INDIVIDUAL,0.0,9974.0,0.0
10000.0,36,7.26,2,45000.0,Not Verified,debt_consolidation,OH,18.42,w,56.47,0.0,INDIVIDUAL,65.0,38295.0,0.0
15000.0,36,19.72,10,105000.0,Not Verified,debt_consolidation,VA,14.97,f,4858.62,0.0,INDIVIDUAL,0.0,55564.0,0.0
16000.0,36,10.64,10,52000.0,Verified,credit_card,CA,20.16,w,2296.41,0.0,INDIVIDUAL,0.0,47159.0,0.0
14950.0,36,8.9,2,120000.0,Not Verified,debt_consolidation,IN,12.3,f,1957.24,0.0,INDIVIDUAL,0.0,350619.0,0.0
4975.0,36,7.9,5,75000.0,Source Verified,debt_consolidation,CA,5.7,f,578.36,0.0,INDIVIDUAL,1023.0,13272.0,1.0
6000.0,36,9.17,8,54000.0,Not Verified,credit_card,AL,11.63,f,637.51,0.0,INDIVIDUAL,0.0,272579.0,0.0
6000.0,36,13.99,7,92000.0,Not Verified,home_improvement,CA,30.85,w,621.72,0.0,INDIVIDUAL,0.0,281521.0,0.0
34550.0,60,17.14,2,72000.0,Verified,debt_consolidation,KY,33.92,w,5535.46,0.0,INDIVIDUAL,0.0,76034.0,0.0
24975.0,36,13.33,10,135000.0,Source Verified,credit_card,NM,14.2,f,1551.58,0.0,INDIVIDUAL,0.0,72193.0,0.0
15000.0,36,18.49,4,76000.0,Verified,debt_consolidation,CA,15.86,f,3726.32,0.0,INDIVIDUAL,0.0,39152.0,1.0
18000.0,36,6.99,7,62000.0,Not Verified,credit_card,TN,18.58,f,992.37,0.0,INDIVIDUAL,0.0,194011.0,0.0
9000.0,36,6.03,10,145000.0,Not Verified,credit_card,TX,15.42,f,633.42,0.0,INDIVIDUAL,0.0,165164.0,0.0
8800.0,36,13.65,10,80000.0,Not Verified,debt_consolidation,CA,13.98,w,1521.5,0.0,INDIVIDUAL,0.0,39634.0,1.0
8000.0,36,15.61,4,50000.0,Source Verified,debt_consolidation,CA,27.39,f,801.55,0.0,INDIVIDUAL,0.0,48488.0,0.0
18450.0,60,21.7,9,69000.0,Source Verified,debt_consolidation,CA,24.28,f,6269.2,0.0,INDIVIDUAL,0.0,71191.0,0.0
30700.0,36,16.99,-1,70000.0,Verified,credit_card,PA,29.13,f,7394.32,0.0,INDIVIDUAL,0.0,221335.0,0.0
9000.0,36,9.99,7,60000.0,Source Verified,debt_consolidation,KS,19.7,f,412.36,0.0,INDIVIDUAL,0.0,34538.0,0.0
24000.0,36,10.99,7,130000.0,Verified,debt_consolidation,IL,23.22,w,833.27,0.0,INDIVIDUAL,0.0,125903.0,0.0
20000.0,60,17.86,9,96000.0,Not Verified,debt_consolidation,FL,18.31,w,843.95,0.0,INDIVIDUAL,0.0,66738.0,0.0
12400.0,36,6.62,2,40000.0,Not Verified,debt_consolidation,NY,20.31,f,0.0,0.0,INDIVIDUAL,,,0.0
4200.0,36,17.57,10,46000.0,Not Verified,debt_consolidation,CA,31.25,w,394.08,0.0,INDIVIDUAL,0.0,282808.0,0.0
10500.0,36,13.66,7,60000.0,Source Verified,debt_consolidation,MO,13.82,f,845.33,0.0,INDIVIDUAL,0.0,71697.0,1.0
16000.0,36,7.89,0,65000.0,Source Verified,debt_consolidation,FL,21.54,w,398.12,0.0,INDIVIDUAL,0.0,147448.0,0.0
23800.0,60,15.61,4,70000.0,Source Verified,debt_consolidation,NC,21.93,f,5008.5,0.0,INDIVIDUAL,0.0,327930.0,0.0
7150.0,36,12.99,2,37000.0,Source Verified,debt_consolidation,TX,13.43,f,1047.06,0.0,INDIVIDUAL,0.0,8589.0,1.0
19175.0,36,6.62,1,250000.0,Source Verified,debt_consolidation,AL,25.86,f,1785.13,0.0,INDIVIDUAL,0.0,447388.0,1.0
15000.0,36,6.92,3,90000.0,Verified,debt_consolidation,TX,29.68,w,624.8,0.0,INDIVIDUAL,0.0,114298.0,0.0
4000.0,36,17.57,2,20000.0,Verified,other,NJ,30.79,f,52.71,0.0,INDIVIDUAL,0.0,31445.0,0.0
30000.0,60,9.99,10,180000.0,Source Verified,credit_card,CT,14.63,w,1046.14,0.0,INDIVIDUAL,0.0,391749.0,0.0
35000.0,60,16.59,8,480000.0,Source Verified,debt_consolidation,CA,13.05,w,8960.72,0.0,INDIVIDUAL,0.0,1385358.0,0.0
6000.0,36,12.69,2,40000.0,Source Verified,debt_consolidation,TX,13.11,f,177.5,0.0,INDIVIDUAL,0.0,68057.0,0.0
20000.0,36,8.18,9,50000.0,Source Verified,credit_card,NJ,3.07,f,127.24,0.0,INDIVIDUAL,0.0,6485.0,0.0
12600.0,60,10.99,10,76600.0,Not Verified,debt_consolidation,CA,7.19,w,107.7,0.0,INDIVIDUAL,0.0,23697.0,0.0
10000.0,60,19.52,-1,29500.0,Verified,debt_consolidation,FL,6.59,w,1147.08,0.0,INDIVIDUAL,0.0,4890.0,0.0
5000.0,36,13.98,-1,19000.0,Verified,other,NY,13.9,f,728.43,0.0,INDIVIDUAL,50.0,5422.0,0.0
10000.0,60,14.85,10,45000.0,Not Verified,debt_consolidation,IN,26.76,w,0.0,0.0,INDIVIDUAL,0.0,176391.0,0.0
